temperature,relative humidity,wind speed,surface pressure
32.31999969,94.5,8.86,101.56
32.06999969,91.88,8.32,101.1
30.79999924,84.75,4.12,101.6
29.94000053,87.06,4.52,102.01
30.61000061,86.88,6.52,102.02
30.55999947,93.06,8.34,101.8
31.86000061,95.56,6.42,101.07
31.62000084,94,6.43,100.32
28.84000015,95.19,4.68,100.45
27.93000031,92.38,6.02,100.78
28.90999985,93.62,6.06,100.65
31.12999916,92.25,5.8,100.67
30.12999916,95.5,7.33,100.05
30.01000023,95.19,7.02,100.27
29.29000092,91.06,5.1,100.44
31.36000061,92.94,3.95,100.75
31.68000031,90.81,5.75,100.73
32.04999924,96,9.29,100.79
31.51000023,94.38,8.7,101.3
31.81999969,92.81,9.32,100.29
32.63000107,94.44,12.09,99.34
33.58000183,95.06,6.95,100.97
31.79999924,97.81,5.22,101.14
31,98.12,4.75,101.16
32.20000076,96.56,5.24,100.93
33.11999893,97.38,6.04,101.16
32.09000015,93.56,7.63,101.4
30.92000008,92.38,7.13,101.11
31.45999908,92.25,5.86,101.39
31.57999992,93.62,5.45,101.35
31.60000038,96.5,5.66,99.88
30.75,94.06,10.87,99.11
30.21999931,94.88,5.74,99.98
29.20000076,90.25,4.52,101.15
32.36999893,93.06,8.52,101.47
30.92000008,95.62,7.29,101.86
29.30999947,91.88,9.02,102.23
30.65999985,92.88,7.56,102.13
32.77000046,92.12,4.7,102.13
32.38999939,93,8.49,101.67
30.37000084,95.31,4.48,101.31
27.36000061,94.81,3.73,100.85
27.80999947,93.81,5.59,100.24
29.54000092,91.81,4.48,100.71
30.48999977,88.75,5.91,101.06
32.31999969,93.31,5.43,100.94
32.88000107,97.06,4.17,101.04
32.20999908,94.69,2.1,101.43
30.20999908,93.94,4.8,101.64
28.52000046,97.06,5.79,101.81
30.79000092,94,8.72,101.3
32.27000046,97.44,7.84,100.92
32.52999878,95,3.82,101.45
32.83000183,93.12,4.8,101.88
32.86999893,93.94,9.65,102.07
32.5,96.5,7.27,101.95
32.13999939,95.81,8.37,101.72
31.60000038,98.31,5.53,101.29
32.93999863,97.19,4.81,101.37
32.58000183,97.38,8.1,100.78
31.76000023,91.19,9.59,99.71
31.55999947,93.81,6.61,100.62
32.04000092,95.25,4.03,100.31
31.59000015,93.56,12.23,100.17
30.36000061,95.81,12.67,100.97
29.38999939,89.75,12.67,102.15
30.70000076,91.69,10.42,102.93
31.77000046,91.69,8.89,103.21
31.88999939,90.19,7.34,102.92
32.08000183,90.31,8.17,102.78
32.18999863,90.88,8.31,102.55
31.89999962,87.19,6.71,102.65
32.70000076,95.38,4.36,102.39
33,94.38,6.62,101.77
32.22999954,95.31,6.98,101.48
31.71999931,84.5,3.84,101.84
29.02000046,92.75,9.79,101.57
29.27000046,91.94,7.3,102.15
30.82999992,84.38,5.89,101.96
31.43000031,84.75,9.88,101.1
31.51000023,95.56,6.18,99.72
32.34000015,96.56,2.2,100.04
32.63999939,93.81,4.05,100.82
32.27000046,94.69,5.84,101.64
27.45000076,88.69,4.48,102.2
30.15999985,85.06,4.99,101.88
30.17000008,88.81,4.65,101.45
30.84000015,98.69,9.81,101.8
32.38999939,99.19,9.64,101.43
33.08000183,87.44,10.09,100.75
32.81000137,90.25,13.25,100.6
33.04000092,93.5,18.8,100.82
32.59999847,93.5,12.48,102.8
32.95000076,92.19,9.84,103.24
33.34000015,93.38,8.57,102.97
33.15000153,93.69,9.63,102.66
33.31999969,96.62,10.89,102.79
33.09999847,98.88,14.12,102.39
32.38000107,96.81,14.23,102.03
32.58000183,93.56,10.94,102.2
31.85000038,93.81,10.63,102.01
31.62000084,94.56,13.29,100.64
31.84000015,96.19,13.26,100.02
32.36999893,97.44,6.86,99.42
32.09000015,96,5.45,99.04
32.63999939,87.88,7.92,100.44
33.11999893,89.88,2.84,101.36
33.50999832,96.31,3.27,101.66
32.70000076,97.94,2.87,100.99
32.00999832,94.44,4.14,100.91
31.85000038,98.38,5.85,101.23
31.68000031,98.81,6.59,101.47
32.09999847,97.75,6.96,101.77
32.59000015,92.94,10.87,101.85
31.25,93.06,10.59,102.14
31.90999985,95.88,9.21,102.59
31.01000023,98.25,6.8,103.27
30.72999954,94.5,6.1,103.22
31.53000069,93.19,7.45,102.53
32.36000061,91.56,8.29,101.44
32.68999863,97.44,7.98,100.85
33.41999817,97.75,8.3,100.95
33.66999817,99.5,8.53,100.38
32.90000153,99.31,7.22,101.31
30.76000023,90.88,8.55,100.77
30.94000053,99.44,8.57,100.89
31.11000061,95.62,9.35,101.39
30.87000084,90.06,10.12,99.1
31.37000084,93.19,10.76,98.19
31.29000092,100,14.86,99.14
30.92000008,100,10.75,99.56
30.68000031,99.88,11.02,100.08
30.15999985,97.75,8.3,100.65
29.70000076,99.75,11.52,99.54
28.94000053,100,10.15,99.5
28.29000092,100,13.45,99.74
27.75,100,6.72,100.98
27.88999939,100,10.21,101.2
27.78000069,99.94,16.3,100.8
27.44000053,99.25,13.48,99.78
27.15999985,93.75,10.2,101.15
27.36000061,92.19,9.64,102.24
27.94000053,94.69,8.98,102.72
27.97999954,99.81,6.36,102.24
28.21999931,99.88,4.71,102.13
28.25,91.94,7.54,101.76
27.71999931,97.19,3.19,101.57
27.95999908,92.69,4.98,101.02
27.77000046,94.12,6.89,99.79
27.79999924,99.88,10.83,100.32
27.26000023,100,5.98,100.8
27.04999924,100,7.87,101.12
27.02000046,100,9.02,101.54
27.13999939,100,9.38,100.71
26.57999992,100,8.09,101.51
26.61000061,100,10.73,102.44
26.78000069,100,6.2,102.48
24.05999947,100,10.49,102.86
23.14999962,100,11.02,103.04
22.79000092,100,10.38,102.2
24.62000084,100,10.72,101.05
26.84000015,100,11.77,101.18
27.46999931,100,9.47,101.15
27.64999962,100,7.88,100.78
26.68000031,100,9.23,100.8
25.26000023,100,8.63,101.11
26.07999992,100,7.77,101.2
26.18000031,100,7.87,101.37
26.94000053,100,6.73,102.13
25.65999985,99.94,8.19,102.89
24.93000031,95.19,13.52,101.41
24.5,93.81,9.07,101.29
25.32999992,100,2.83,101.42
25.38999939,99.94,5.27,101.7
24.90999985,100,7.97,102.25
25.27000046,100,10.95,103.19
26.19000053,100,7.67,104.11
26.35000038,100,5.18,104.28
26.70000076,96.56,3.73,103.64
27.60000038,95.88,5.51,103.73
26.47999954,99.62,6.56,103.75
26.62000084,99.62,4.9,103.26
26.57999992,97.38,3.14,103.35
27.07999992,98.25,5.6,102.57
27.85000038,97,8.3,102.58
28.18000031,100,7.7,103
27.20000076,99.69,9.22,102.44
29.09000015,100,7.57,101.25
28.06999969,99.81,9.48,100.32
28.87999916,100,12.22,100.2
28.25,100,9.35,100.38
25.37999916,99.25,3.35,100.7
26.20999908,99.81,9.89,100.75
27.04999924,99.81,12.04,99.68
27.5,98.75,6.99,100.15
27.75,99.25,5.52,101.34
28.07999992,100,5.18,101.95
28.02000046,100,13.34,100.61
27.97999954,100,6.89,101.73
28.32999992,99.94,9.52,102.32
28.5,100,12.02,103.1
28.86000061,98.38,18.69,100.93
28.96999931,99.06,14.5,101.26
29.12000084,97.44,11.17,101.05
29.04999924,93.31,14.34,99.8
28.45000076,100,11.24,100.98
27.18000031,100,6.62,100.49
26.57999992,100,5.05,100.26
27.65999985,100,5.91,100.32
27.42000008,99.94,4.52,100.6
26.69000053,99.75,4.76,100.98
22.57999992,99,6.15,101.52
25.79999924,98.38,3.88,101.74
26.88999939,99.75,6.7,102.44
26.45999908,99.94,8.52,103.37
24.32999992,99.44,5.37,103.17
25.96999931,96.5,13.77,100.99
25.90999985,98.94,7.61,100.59
26.12000084,100,8,100.89
26.92000008,100,10.25,100.23
28.13999939,100,11.63,99.35
28.47999954,100,11.16,98.92
29.55999947,100,6.73,98.67
31.14999962,98.88,8.91,98.36
31,98.19,7.55,99.15
30.04999924,100,10.3,99.97
29.10000038,100,11.09,100.86
29.71999931,100,7.43,101.49
30.53000069,99.5,3.93,100.84
31.13999939,100,6.77,100.52
30.84000015,100,9.34,101.1
31.27000046,99.94,5.91,101.15
32.54000092,100,9.71,100.96
31.37000084,100,7.33,100.89
29.23999977,99.88,8.38,101.56
30.05999947,100,5.88,102.23
30.71999931,100,3.28,101.85
31.79999924,99.44,7.07,101.2
32.43999863,99,11.46,100.59
30.03000069,100,14.51,99.67
29.98999977,100,15.18,98.75
27.18000031,100,12.01,99.04
28.35000038,100,12.05,99.09
