maxtemp,10u,10v,msl,msnlwrf,r,ssr
38.24,-0.191732015,3.918107153,100607.8261,-90.41352853,74.89123874,954643.9574
36.89,-0.285290036,3.513776028,100771.4366,-82.859678,78.15839576,935088.7421
35.48,-0.901771777,3.15951314,100791.885,-81.35886796,78.22656587,950745.0656
35.29,-0.499709055,3.404471438,100821.0832,-89.00221212,76.84283907,955387.7008
35.31,-0.433061649,3.694496064,100752.2619,-88.77131121,76.25400882,971525.8862
36.01,-0.368173107,3.842562368,100672.027,-80.80729685,74.5120729,961915.8828
37.45,-1.081947072,3.875019466,100769.0395,-77.72923047,75.71020389,942019.1741
36.05,-1.560263301,3.557969789,100971.99,-79.20899939,77.08265004,940240.4749
35.82,-0.942279761,3.973251037,101019.2879,-63.33610022,81.46532678,887759.4227
35.82,-1.033591849,3.697924891,100994.1959,-66.68797668,80.58679787,914054.4202
36.18,-1.001174637,3.878214788,100929.7782,-56.54092414,81.07278949,807632.0646
35.74,-1.139921927,3.740385804,100856.4442,-56.98407382,80.511237,867649.0188
36.06,-0.993895647,3.720722284,100896.3306,-60.97802573,78.4588402,867925.5656
35.22,-0.181084124,4.081302078,100836.5583,-69.57134387,77.36933404,939283.0362
36.12,0.140422638,3.920946074,100700.9313,-81.04986685,76.98452788,938118.1873
37.84,0.569233617,4.356050608,100625.2898,-86.87173078,71.53232922,959728.6485
38.56,0.215296114,4.839564269,100684.3132,-79.239045,70.87931598,946892.265
38.21,-0.313851277,3.989166198,100883.8043,-79.08054755,76.28717002,955645.3922
37.87,-0.297629141,4.178943743,100992.0031,-83.58481531,78.84763349,963189.6744
36.28,-1.01657146,3.746420046,100966.2643,-84.26070355,78.01505376,977262.1385
36.63,-0.667612874,3.619688661,100912.8735,-80.16136232,74.79063677,921282.3496
36.02,-0.134108933,4.194182971,100729.2266,-75.57734049,74.16995814,935300.3423
36.84,-0.614860511,4.147002813,100529.3038,-77.58727189,73.99029441,971789.8628
37.97,-1.035837783,3.769106832,100502.431,-71.46090909,73.57354262,965714.212
37.48,-1.158863536,3.975807294,100627.9735,-61.91293096,75.86881366,897974.8962
36.93,-0.913529104,3.686765843,100611.1655,-67.69059937,76.69638517,932061.392
36.6,-0.568588865,4.647427102,100599.6621,-66.42032273,78.41930932,938868.2159
36.86,-0.456183943,4.298202991,100502.5725,-68.37898365,79.51251086,934089.4023
37.34,-0.232091173,4.233079871,100454.8142,-68.73135334,78.07986885,911125.5375
38.07,-0.515525299,3.252521588,100356.569,-66.6514993,74.17000676,932553.7292
38.86,-0.985466631,3.522845826,100408.5518,-70.46701525,78.06503869,942624.6441
38.51,-1.610932107,2.442691816,100439.271,-73.8167784,78.75646448,944524.8562
36.94,-1.185408849,1.580421895,100435.9405,-74.83373478,76.66803769,937655.1808
36.37,-1.222074393,-1.673448198,100331.3498,-61.44589182,76.30423686,895320.4654
36.92,1.295427866,-5.138713418,100091.2181,-37.86128785,71.33462618,440759.1315
34.67,8.598960717,-1.489999848,,-19.16051856,80.60639313,76159.32973
34.34,5.504808216,4.67166239,99493.99183,-25.43187206,62.20668746,165276.556
33.41,2.109484124,3.707043848,100010.3472,-37.15360823,71.75492748,697993.8042
35.17,0.412018259,2.322842663,100479.281,-49.91040164,73.84345152,780918.0567
36.32,-0.806969021,-0.691132488,100808.7307,-51.26521026,82.16851945,844875.8037
35.66,0.180308255,2.798724421,100735.2855,-60.99971002,78.70769514,933519.5482
36.45,0.361890642,3.144323071,100779.0505,-60.8685017,76.73051885,922977.2466
37.18,1.130243502,3.801096921,100767.8392,-66.93569211,69.89114114,961800.6549
38.08,0.751925441,2.522476548,100704.4087,-74.55643315,69.34641237,973432.3835
39.76,0.819817581,1.978264059,100703.0704,-70.58104152,68.75612341,966357.393
39.41,0.706276162,1.774844947,100707.7087,-67.99564954,65.95108387,948059.209
39.76,0.152869981,2.405257391,100635.6735,-65.8556124,66.80398821,925411.6969
39.71,0.017491592,2.541439555,100596.8118,-71.86151714,68.58876141,961823.7005
39.55,0.592910629,3.929032696,100678.1522,-68.51000821,66.12841368,935633.4556
39.7,0.262393073,3.160422578,100747.7652,-68.4947557,66.85839788,893571.0969
38.08,0.027611823,3.269604271,100838.2818,-64.53029809,72.61950146,911066.8761
39.05,-0.271909142,4.469484538,100885.7122,-66.770671,77.53241717,924026.8676
36.82,-0.128209974,5.145590085,100808.1807,-73.49142219,77.41051812,949397.9471
36.64,-0.037587902,3.152065582,100758.3746,-63.40243944,78.08774586,926557.6904
37.98,0.519890725,3.709858189,100570.7488,-65.5381581,71.99016784,923758.701
38.21,-0.314121871,3.129120712,100601.0362,-57.47702385,73.2373113,890996.278
37.69,-0.213690752,3.566326785,100722.2827,-60.84497976,76.19279186,914858.9201
37.18,0.25332816,4.488902263,100667.8527,-64.71305254,73.18465208,933978.3646
38.33,0.266560227,4.279252273,100573.368,-70.77574071,70.77171223,927823.1018
39,0.583209819,4.199418383,100448.1963,-64.84802805,69.99081926,925849.5629
39.02,1.13713012,3.239088947,100323.795,-57.72244222,65.90732275,881409.3202
39.28,0.466543034,4.333609616,100261.425,-65.75637922,67.39850742,917104.8159
37.31,0.212779586,4.830346994,100273.2043,-64.59921002,73.46127102,933819.1406
37.48,0.309016492,5.148809987,100257.6324,-60.76687957,73.8821558,928795.206
38.06,0.368723151,3.842550079,100359.0969,-54.54073229,72.1390043,889202.9135
38.15,-0.093357413,2.582032433,100489.3421,-55.52975637,70.10727248,885890.6363
37.82,0.57639084,3.188381645,100285.7539,-54.76014789,68.41060501,828157.2888
38.42,0.482562224,2.888672735,100200.4704,-56.66616009,69.45596105,893600.4277
38.06,0.178562921,3.155777071,100152.8751,-57.33956751,69.73768546,892992.8625
37.11,1.568038216,2.466423227,100191.3695,-59.76508381,62.62465484,883889.8617
38.36,0.008534917,2.657478901,100300.5966,-66.83085409,63.72422606,930004.051
37.83,1.319903132,3.253136074,100429.9658,-58.42148487,59.84776829,898898.8141
38.03,3.040843063,1.744858079,100487.0562,-57.04517573,51.07789283,836443.2194
38.69,2.857217688,1.273449772,100524.2087,-54.73763666,56.40089891,788665.5589
37.41,2.278132097,0.91567203,100580.7795,-42.3455252,67.7833622,632906.8242
38.17,3.327862566,1.015648738,100408.6037,-38.42140405,57.58920797,540311.8116
36.85,4.361167953,1.298324125,100410.8378,-35.5810379,60.21827916,511115.1672
34.74,4.075826136,0.418295587,100293.9913,-42.66150939,54.03376238,657854.7032
35.27,4.530871245,0.371152298,100296.5137,-35.61053221,52.96341386,439539.8112
34.62,5.963289874,1.266887072,100276.0026,-36.62353763,53.08623676,422467.2326
34.08,4.874688517,2.358974381,100237.9167,-41.56737165,50.53710256,500287.9385
36.02,5.4788988,2.470564856,100227.4525,-53.15293783,47.07481954,720178.3096
36.99,6.04643001,1.760035858,100252.6305,-53.59755763,44.4785692,704025.4588
37.55,5.462094887,1.441708053,100368.626,-49.39438908,45.33176528,700864.0253
37.05,5.63366528,1.123281929,100454.4649,-65.37322887,41.802236,797596.7656
37.01,4.768196082,1.598536913,100439.0237,-56.03998032,44.25412325,645812.3444
36.83,5.39888403,1.589970992,100335.6549,-54.87959524,42.43862001,629477.224
36.22,4.856477512,1.132892475,100418.5019,-53.01364384,47.36573378,654814.7828
36.14,2.712490262,1.228678395,100597.7452,-51.55546732,49.77809015,722443.0609
37.46,3.37761135,0.156463532,100637.5778,-51.90664254,49.11778338,718470.8422
36.74,3.361064501,0.159548246,100483.1668,-55.019073,50.80069041,760713.3754
38.22,3.991373617,-0.05722977,100356.2735,-57.97796767,47.00771915,755167.7728
38.04,3.27382486,1.091832588,100316.1595,-56.89779607,51.14601431,735248.0186
37.69,3.752384624,1.302846734,100365.1289,-52.51297567,48.16704862,736046.2333
37.31,2.667111578,2.139627818,100443.5348,-47.47367566,55.59700703,743959.2447
38.02,2.93137409,2.030851685,100464.6461,-54.80847813,53.0496719,722763.6038
37.08,2.380646794,1.95775255,100522.0105,-51.47644831,60.848099,767650.0925
38.03,1.863635562,2.47151117,100608.0124,-50.66411443,61.43663752,762339.1357
36.72,2.159801156,2.330388539,100722.5872,-47.18727767,61.47150055,600094.12
35.39,1.39274715,0.797592594,100792.9581,-50.47198796,64.93183863,719717.3982
36.12,1.437665824,1.727652499,100820.7105,-52.79092047,69.19723555,802444.7158
35.4,0.301128665,1.737693184,100782.1105,-48.79329325,66.76285275,766298.784
36.21,-0.003925956,2.128554798,100711.3634,-54.80857001,67.95617003,793804.7214
36.23,1.782416646,1.454292706,100767.5042,-50.25937167,72.31511851,801208.6352
36.4,0.70006602,2.931379442,100665.6742,-45.76704865,73.13841116,789564.3362
33.54,1.024427553,3.168201958,100665.3983,-44.77747328,70.0076916,654399.9624
34.84,1.392855388,1.869807458,100624.2041,-43.90826409,72.03519318,712694.7839
34.47,0.353055734,1.671365674,100528.5298,-40.5217479,75.20617297,583654.247
34.16,0.676727251,2.612498599,100437.8807,-38.75631604,79.61248072,588498.0072
33.31,-0.117020895,3.440369651,100456.5788,-42.42160398,81.05499329,653369.1969
32.45,1.019759799,2.610151267,100469.1016,-46.53803537,77.97946138,799480.2173
34.16,3.223453708,1.275010564,100492.7389,-47.07343515,63.19529992,694059.2965
34.01,3.242043545,0.981790615,100359.2492,-39.01413856,60.51123558,627658.7189
35.24,3.476486552,0.818755457,100298.2623,-37.46738723,62.11016987,623416.2386
34.28,2.950112753,0.554858732,100345.6103,-35.29528308,62.04579239,507853.1713
33.74,2.629769548,1.887209673,100262.9854,-34.33740721,70.55606713,557241.9267
32.75,4.25946504,1.702950203,100154.7132,-32.9624763,62.34166622,550296.8294
34.51,3.519605773,2.2713734,100120.1565,-32.10392549,63.92333918,349232.5954
34.29,3.094704883,2.954434919,100219.0144,-33.5811217,70.8714876,419919.6494
33.78,3.834334144,2.092693454,100258.4207,-38.41708556,56.4385821,498611.8969
35,3.62984594,2.994265836,100294.5377,-45.33446547,58.16165212,634222.5168
35.27,3.600594683,2.511378949,100307.1894,-45.54965447,55.97179676,674288.2909
35.09,4.853825687,1.974257617,100248.8736,-46.59564574,50.98910637,641613.8602
35.37,6.136686779,1.420164209,100358.6544,-48.83004629,47.86801426,647557.5226
33.87,5.779218019,1.34969507,100370.3942,-50.92643919,44.45916843,595101.6111
35.45,4.994940677,1.485557702,100310.0684,-50.44966049,45.72493468,644498.7468
36.07,4.061038151,1.684405046,100438.755,-49.3773908,50.20004465,682892.6695
36.41,3.621457513,0.745582584,100583.9433,-57.98283744,48.66918322,790241.038
36.74,3.451645984,0.745275341,100632.8984,-64.59819932,49.82267787,856264.5062
37.17,2.896589177,0.705370686,100537.2975,-60.03907766,52.09543625,828813.0402
37.06,2.79021851,0.914160397,100579.9267,-54.44820654,52.92733525,691036.1365
36.15,1.442590642,1.634385967,100664.2088,-54.81472614,61.18389271,733861.0941
36.59,1.010546059,1.448983555,100714.3892,-59.23519698,59.59969133,822791.8607
36.67,0.144075662,1.778789941,100648.1496,-60.55031233,63.22316117,810062.3248
36.72,0.315835471,1.540935089,100564.8995,-59.0462864,65.0682761,852204.2955
36.62,1.672176479,2.068445876,100525.4269,-50.30154578,63.24008213,754417.7442
34.92,2.106020515,2.410947522,100557.2855,-50.91440257,64.32477457,700589.5736
35.27,0.725569544,1.328556786,100584.8785,-60.2055689,66.27540244,809775.3027
36.38,0.293660259,0.252605853,100583.1192,-59.19826019,62.51865567,806314.2768
36.56,0.336305939,2.469065512,100638.8803,-53.37805015,70.44321205,752123.6622
35.62,0.221262721,1.652500985,100629.645,-51.26759921,72.35844203,774071.4268
36.25,1.05611416,1.804069853,100594.2499,-46.20330713,76.20815688,778657.4957
35.51,1.405235083,0.248451935,100558.6811,-43.89990278,79.03313204,770423.9414
33.82,-0.502360881,0.066748723,100611.8462,-42.52552317,81.37726968,598904.1304
34.71,-0.406110445,1.198863584,100678.8831,-37.92753519,84.6754971,655170.9415
32.33,-0.558766288,1.638244933,100816.5273,-34.2461678,84.14394529,361978.8917
30.17,-1.237214151,1.711393226,100855.3496,-49.64826064,81.18321339,744160.3697
32.31,-0.502320292,2.36025251,100867.8221,-51.3430348,81.93522403,767867.9779
33.74,0.910493772,3.586875163,100735.3876,-52.89970944,79.6729197,850341.7943
34.25,1.084973055,1.823364682,100761.5295,-44.34149045,80.49319769,732411.3181
33.71,1.340887729,2.428521793,100664.1389,-46.32422461,78.42587349,818130.3701
35.26,1.18365884,2.116240519,100617.9284,-45.5173118,76.68145777,819728.8947
34.2,1.328210381,2.379350703,100692.5721,-46.37310614,78.82409973,782413.9238
33.09,1.17882873,2.059978273,100788.2106,-46.64976458,78.55423945,767002.7214
33.41,1.08957316,2.251931095,100853.2051,-40.632007,77.47295066,596279.0303
34.58,1.607328526,1.489465826,100906.8163,-46.03387566,74.1682077,790406.5471
32.61,0.204066446,0.881543533,100938.3471,-49.76816741,78.97507561,770396.7056
33.24,-0.387804732,2.978178619,100894.1055,-54.16667832,81.04030901,825253.5468
32.78,-0.116317349,3.345321112,100871.4786,-52.94206731,81.0881545,801089.2173
33.12,-0.36805134,2.830788248,100892.237,-51.25565447,79.93198556,772407.9556
34.07,-1.037109576,1.718029664,100879.9758,-52.60439884,79.38078987,793695.7788
33.14,-1.387799947,1.532356879,100892.0202,-50.59134343,80.98930298,813077.1047
33.41,-2.023169178,0.052677016,100851.2757,-46.95747934,82.7473819,772405.8605
32.48,-3.348784189,-1.32859922,100745.3664,-26.9284555,87.15427313,433757.4677
30.37,-3.071614323,0.395977492,100715.869,-27.76789474,86.5996738,441517.5402
30.4,-1.966006106,0.926572994,100721.833,-31.29159162,85.40674551,581699.5636
31.66,-1.02433752,0.77356623,100695.383,-38.9295147,82.55497881,740630.2071
32.25,-1.021631575,0.165779124,100643.196,-43.97938121,80.81474471,714152.9401
32.74,-1.106584694,-0.211735876,100552.5649,-46.69800294,82.8468169,801474.7068
32.13,1.283264647,-1.353068012,100568.5757,-30.08572466,89.60377783,308039.6833
29.95,1.194049666,1.190703223,100505.2813,-34.5695026,83.205804,546452.409
33.35,1.153704038,1.834990738,100454.2767,-39.28601911,79.543873,710815.5223
33.81,2.616483361,2.274040265,100466.4178,-43.10649672,72.53465349,704260.1046
32.95,2.936731859,2.603527118,100422.4988,-43.71567821,66.36944023,706476.6696
32.57,3.566391548,0.234515415,100419.8867,-33.88433421,66.18841504,574593.1472
33.27,3.46591984,0.058133643,100513.3951,-23.19857411,71.0512972,258839.4825
31.99,2.210402313,0.003051208,100536.1295,-35.81883001,69.91345931,536500.9121
33.03,1.054558242,1.006038193,100536.6687,-38.92381798,74.63703522,662273.1678
33.84,1.947885135,0.929792895,100683.5823,-41.57251707,76.99843419,647886.4459
32.66,2.337446394,1.464296521,100727.419,-50.32773231,65.89380542,794221.6368
33.73,1.842610376,1.060739647,100759.1163,-51.10882611,65.7663633,832255.2105
34.77,1.467769453,2.106949506,100749.5675,-50.49688814,70.80876332,832818.7795
35.05,1.093185596,1.721016061,100795.5128,-48.18475494,73.82818375,816701.5446
35.09,0.374973882,2.74596474,100879.2861,-51.74272402,80.91928518,767647.9975
34.04,-0.199078653,2.676380459,101037.4844,-59.10637761,82.97887825,814950.0812
33.57,-0.493958924,2.397060161,101123.5705,-59.04711335,82.08167793,801868.5766
33.51,-0.866039783,1.765480195,101181.519,-57.86412515,80.30604594,817221.1175
33.07,-1.049137499,0.697038269,101172.651,-55.90417787,84.22553548,727722.5918
32.99,-1.557056757,-0.683979883,101160.5582,-72.84061789,78.82429422,858994.359
33.28,-1.66652573,-1.019906539,101185.6538,-68.07466855,77.97921826,798128.9087
33.55,-1.911697806,-0.160536987,101210.2603,-52.27959392,80.30483035,714858.9726
33.51,-2.183672259,-0.419530121,101246.1068,-49.04073304,80.86643147,709110.15
33.07,-1.971999773,-1.490135035,101275.3695,-48.27856705,81.28284289,628829.853
32.51,-1.676875967,-1.551878487,101241.3951,-78.06147787,76.24160983,840811.4029
32.76,-1.555067888,-0.666135239,101162.0416,-80.53192476,75.43052168,844025.2126
32.47,-2.213045283,-1.118875492,101151.2244,-71.66029429,72.58449255,833296.4514
32,-2.565223923,-2.288400199,101246.295,-68.40572148,67.10136937,814128.8208
32.75,-2.764435536,-2.705451164,101335.8476,-67.22227387,64.68643596,783170.2376
32.79,-3.430206051,-2.493711925,101290.85,-45.9582563,83.35955142,679940.7412
32.24,-3.571104566,-0.976376422,101252.4829,-43.68590825,86.5054415,655820.4077
31.1,-2.316074109,-1.114758442,101329.0972,-44.53233056,83.86688874,574119.6655
28.92,-2.715173822,-1.641900538,101404.1511,-46.8448313,82.03670122,619295.2714
30.21,-2.556808437,-1.261816991,101342.7647,-41.90954237,86.60545999,649853.6997
31.13,-1.67189703,0.158712547,101176.8843,-33.6243984,86.40002581,395040.907
29.05,-1.345289563,0.388824887,101125.8206,-34.58843041,87.62455936,463203.4233
29.48,-1.475946079,-0.92323576,101193.7461,-36.74142298,85.84221733,425456.8718
29.86,-2.369854751,-1.370605414,101162.4841,-43.94896808,84.18182298,666938.8486
30.96,-1.668392832,-3.455614443,101090.4883,-49.4565017,84.79797962,697591.5542
30.85,-1.191564872,-4.866545725,100924.212,-41.82510228,83.88293449,664860.557
31.67,-1.918422077,-4.292407817,100702.3968,-20.38439451,89.14273006,281063.794
28.81,-2.779724121,1.406719277,100733.6194,-30.10033399,86.08888421,455874.9315
29.98,-2.015200172,0.564616754,100958.9549,-27.60811093,88.55438603,409748.172
31.29,-1.751072957,-1.642601051,101065.0917,-31.11802543,88.44493459,530685.0477
29.6,-2.402745503,-1.559166279,101030.8271,-37.20524624,85.69474234,510838.6203
30.16,-2.251807934,-2.728236267,101001.1864,-37.037193,88.87573857,490193.978
30.61,-2.697612244,-1.283237938,101006.3567,-44.09101854,85.88203996,660513.3242
30.65,-2.498779463,-1.786464278,101037.3536,-41.58280792,83.8657704,606517.5494
29.62,-2.072742076,-2.140481372,100971.698,-28.82748463,90.25431127,408635.6994
27.79,-2.38393919,-1.872270962,100890.0674,-28.51085726,89.86965098,370631.4564
29.74,-3.311969818,-1.657692803,100924.2568,-24.4016846,89.98352715,323434.1253
28.9,-4.022834893,0.346720375,101093.9728,-21.64456407,91.71778056,273492.2761
27.73,-3.259258025,-0.19231815,101143.4546,-22.08550856,90.88918796,355903.241
27.81,-2.168776036,-0.508347782,101082.2348,-24.20854742,90.42848055,324737.2476
29.77,-2.959087633,0.838062575,101014.3487,-23.32601525,89.06532149,308833.708
27.86,-2.581689594,0.087948455,101072.4997,-20.21854645,91.33185606,191464.7058
28.65,-3.812826562,-0.53913348,101111.8271,-25.4496054,87.48783015,383786.2878
28.07,-3.445034625,-1.106118783,101214.9147,-30.59512167,86.98652215,297792.7841
27.93,-2.55710609,-1.470041376,101092.6793,-36.39475001,89.0937176,559399.8302
29.2,-1.19992624,0.994608772,101011.5503,-41.80470435,84.10631072,595332.0668
29.17,-1.437535201,-0.218851612,101064.015,-43.26021627,87.65859579,577012.9323
29.82,-2.18411874,-2.018678156,101074.5079,-38.46633463,83.57646073,600131.8309
30.18,-1.469221808,-2.217156809,101084.2843,-25.41432249,88.95475171,418647.9528
28.25,1.35444451,-7.46928294,100827.3678,-17.27260723,86.10881983,103147.7894
27.19,1.976311079,0.463730607,100878.3742,-18.46717263,83.06007945,305967.6769
26.35,-2.46154567,2.443134246,101179.7149,-34.2055557,87.42301506,566774.4133
29.25,-2.922110905,1.413748986,101254.2547,-41.51701999,86.85971213,571303.9157
30.09,-1.948214523,-0.551201966,101242.1494,-61.20718088,80.17301212,711712.2046
30.27,-1.531959125,-0.343739542,101114.0557,-40.81678286,84.98532587,567084.4809
30.17,-1.784761963,-1.306305704,101197.0694,-58.56812947,80.81090346,660102.694
